tagalog,cuyonon
Kain,Kaen
Kumain,akakaenden
papunta,agapakaron
kunin,bel
Bisitahin,Pakon
Kunin,Bel
Kumuha,agabel
Kinukuha,agabelden
bangka,baroto
lalaki,lalaki
babae,babae
kotsi,kotsi
mura,barato
malayo,raye
pera,koarta
bahay,balay
gutom,getem
benta,agpabakal
bigay,abi
kahapon,kagapon
litrato,ritrato
pakiusap,Kong manga sarang
jeep,dyip
iyong,imong
sa iyo,imo
hilaw,ilaw
istasyon,istasion
wifi,wifi
maanghang,maarat
pagkain,pagkaen
sarap / masarap / masasarap,sabor / masabor / masasabor
torista,torista
tawad,tawad
ah,abaw
gana,gana
lahat,tanan
ulit,doman
halos,kamaite
truck,trak
makarating,magabot
matagal / mahaba,maboay / malabeg
Matagal tagal,Maboay boay
Sumang ayon,paigo/tama
bulsa,bolsa
garahe,garahi
wika / lenggwahe,bisara
pangalan,aran
tawag,tawag
lechon,litson
kwarto,koarto
halata,halata
ngayon,dadi
takot,iadlekan / adlek
isa,Isara
dalawa,Darwa
tatlo,Tatlo
apat,Apat
Lima,Lima
anim,Anem
pito,Pito
walo,Walo
Siyam,Siam
Sampu,Sampolo
ako si,Ako si
ako,ako
Meron ba,May ara / mayad pa
alam mo ba,Alaman mo
dalawampu,dose
tatlumpu,trese
apatnapu,katorse
limampu,kinse
animnampu,disi sais
pitumpu,disi sieti
walumpu,disi otso
siyamnapu,disi nuebe
daan,sieto/gatos
libo,mil/ribo
milyon,milyon
na,ren/den
pupunta,mapakon
oo,een
talaga,matod
kadiri,kadasmak
nandidiri,nadadasmakan
naiinis,kaerep
nakakainis,Ing eerepan
dito,digi
tayo,kita
sila,sanda
alis,alen
aalis / kaaalis,magalen / kakalen
paalis,paaalen
alisin,belen/alinen
sasakay,masakay
sasakyan,sarakayan
o,o
at,pati
ay,ay
ay,ay
bus,bus
eroplano,eroplano
traysikel,traysikel
motorsiklo,motorsiklo
nakarating,agabot
marami,marake
marami,marake
doon / diyan,duto / dyan
malamig,maramig
mainit,mayet
niya,kanana
din / masyadong,den / masyado ngeg
hati,tienga
para,para
na lang / lang,na lang / lang
restawran,restawran
ulam,sera
handa,handa
nasa,nasa/asa
ayaw,ayaw
ayaw,ayaw
weyter,weyte/surugon
tikim / tikman / titikman / lasa,samet / sametan / sasametan / lasa
hintay / sandali,elat / arawaey
naghihintay,agaelat
saglit,arawaey
tagal,bwaey
katagal,ang bwaey
bilis,daseg
bilisan,dasegan
basta,basta
may,may
kahit saan,maske aden
kahit kailan,maske inuro
kahit sino,maske sino
kahit ano,maske ano
alam,alaman
tara,tara
langoy,langoy
ligo,paregos
lunod,limis
isda,isda
baliw,buang buang
galit,silag
lungkot / malungkot / nalulungkot,pungawan/beken maabeng / beken maambeng / pupungawan / ara lelepayan
baboy,baboy
manok,manok
baka,baka
bibe,bibe
aso,cho
pusa,kuti
paniki,paniki / kulalaenet
ibon,ibon / langgam
paru-paro,paru-paro
ipis,ipis/dalomaseg
langgam,langgam/aripotos
daga,daga/ambie
unggoy,unggoy
palaka,palaka/pangka
baka,baka
kalabaw,kalabaw/karabao
kabayo,kabayo
mabaho,maburo
panget / pangit,marimo
madumi,maboring
makalat,marikot
bukas,aruman
matigas,matigas
oras,oras
Buksan / bukas,abreayan
mabigat,mabiegat
ilaw,ilaw / light / solo
ang,ang
tubig,tubig
hiram,belis
pagod,pilay
puyat,puyat
tigil / tumigil,tadeing
inumin / uminom,inomen
wala,ara
Ser,Ser
Ma’am,Mam
ate,ate
kuya,kuya
nanay,nanay
tatay,tatay
Sino,Sino
Kailan,Inuro
Bakit,Ayamo
sigurado,sigurado
atin,aten
sa atin,kanaten
tawad,tawad
matamis,matamis
maalat,masin
mapait,mapaet
matabang,malasay
maasim,maslim
akin,kanakan
paalam,paelam
kanila,kananda
sa kanila,kananda
kaniya,kanana
kaniya,kanana
siya,tana
siya,tana
siya,tana
sa kaniya,kanana
ay,ay
may,may
tayo,kita
ito,dya
natakot,nadlek
nakakatakot,ing aadlekan
umiiyak,agatangis
umiyak,agtangis
Lunes,Lunes
Martes,Martes
Miyerkules,Miyerkules
Huwebes,Huwebes
Biyernes,Biyernes
Sabado,Sabado
Linggo,Domingo
Enero,Enero
Pebrero,Pebrero
Marso,Marso
Abril,Abril
Mayo,Mayo
Hunyo,Hunyo
Hulyo,Hulyo
Agosto,Agosto
Septiyembre,Septiyembre
Oktubre,Oktubre
Nobyembre,Novembre
Disyembre,Disyembre
binigay,Ingtaw
binigay,Ingtaw/ing abot
pagbibigay,Pag pamanaw/ ingtataw
pagkakataon,timpo
trabaho,trabaho
bakasyon,bakasyon
pahabain,palabegen
malapit,marapit
tuwa,kadlaw
ngiti,ngirit
masaya,maambeng
insekto,insekto
bisita,bisita
nag-iisa,mag isara lamang
nag-iisa,isara lamang
ingat,ingat
mag-ingat,mag ingat
kilig,kilig
kinikilig,ingkikilig
mahal,mahal / mal / guegma
pag-asa,pag asa
sana,basipa
inaasahan,ing aasahan
almusal,omagahan
tanghalian,igma
meryenda,meryenda
hapunan,yapon
araw,adlaw
maaraw,mainit
mahangin,magin
maulan,mauran
Ambon,tariti
maulap,maulap
bagyo,bagyo
lindol,lindol
panahon,panahon
isla,isla
halaman,halaman
puno,puno
bundok,bundok / bulod
burol,burol / bulod
patag,patag
kuweba,kuweba
bulkan,bulkan
tuwalya,tiwalya
sumbrero,sumbrero / todong
salamin pang-araw,salamin sa adlaw
salamin sa mata,salamin sa mata
salamin,salamin
panyo,panyo
tisyu,tisyu
losyon,losyon
siyampu,siyampo
sabon,sabon
damit,damit / lambong
tsinelas,tsinelas
sapatos,sapatos
medyas,medyas
dagat,dagat
karagatan,karagatan
ilog,ilog / bangalog
sapa,sapa
daungan,daungan / pantalan
baybayin,baybayin
hotel,hotel
tindahan,tindahan / tindan
tindahan,tindahan / tindan
palengke,palengke
ospital,ospital
buhangin,buhangin
pasalubong,pasalubong
pagkaing-dagat,pagkaing dagat
hayop,hayop
banyo,banyo
paliguan,paliguan / pararegusan
palanguyan,lalangoyan
plato,plato
kutsara,kutsara
tinidor,tinidor
baso,baso
kutsilyo,kutsilyo
ipabalot,ipabalot
kakain,kakaen
pasuyo,pasuyo / patigayon
pabor,pabor
paborito,paborito
minuto,minuto
segundo / pangalawa,segundo
oras,oras
kilo,kilo
metro,metro
gramo,gramo
litro,litro
galon,galon
malaki,mabael
maliit,mayte
kaunti,mayte
Lola,Lola
Lolo,Lolo
Tita,Tita
Tito,Tito
makikiraan,makikidalan
nauuhaw,nauhaw den
nagugutom,nakakagetem
masakit,masakit
masakit,masakit
masakit,masakit
inaantok,ing pupuyat
tapos,tapos
alin,aden
mga,mga
masikip,masikip
masikip,maeget
manood,panuod
nanonood,apanuod
malambot,malambot
malambot,malambot
matigas,matigas
matangkad,matas
maikli,matagid
gatas,gatas
kape,kape
dyus,dyus
Diyos,Dyos
simbahan,simban
klinika,klinik
botika,botika
gamot,bulong
lugar,lugar
lungsod,bayan
probinsya,probinsya
kanan,kanan
kaliwa,kaliwa
taas,taas
aakyat,taas
baba,baba
bababa,mababa
hilaga,hilaga
timog,timog
silangan,silangan
kanluran,kanluran
liko,liko
gilid,gilid
hagdan,hagdan
sa,sa
totoo,matod
peke,beken batuod
tama,tama
mali,mali
sa,sa
mula,mula
madilim,madelem
maliwanag,maliwanag
Gawin,bwaten
ginawa,ingbwat
hindi,hindi
nais,alyagan
ay hindi,Ay hindi
hindi,hindi
huwag,Endi ren
puwede,pwede
dapat,dapat
