english,cuyonon
meter,metro
gram,gramo
liter,litro
gallon,galon
big,mabael
small,mayte
little,mayte
Grandmother,Lola
Grandfather,Lolo
Auntie,Tita
Uncle,Tito
excuse,makikidalan
thirsty,nauhaw den
hungry,nakakagetem
painful,masakit
hurts,masakit
aches,masakit
sleepy,ing pupuyat
done,tapos
which,aden
those,mga
crowded,masikip
tight,maeget
watch,panuod
watching,apanuod
soft,malambot
tender,malambot
tough,matigas
tall,matas
short,matagid
milk,gatas
coffee,kape
juice,dyus
God,Dyos
church,simban
clinic,klinik
pharmacy,botika
medicine,bulong
place,lugar
city,bayan
province,probinsya
right,kanan
left,kaliwa
up,taas
going up,taas
down,baba
going down,mababa
north,hilaga
south,timog
east,silangan
west,kanluran
turn,liko
side,gilid
stairs,hagdan
at,sa
real,matod
fake,beken batuod
TRUE,tama
wrong,mali
to,sa
from,mula
dark,madelem
bright,maliwanag
Do,bwaten
Did,ingbwat
not,hindi
would,alyagan
won't,Ay hindi
didn't,hindi
don't,Endi ren
can,pwede
should,dapat
